id,description
8885371,"Aeropuerto Jorge Chávez: ¿por qué se queda atrás en la carrera por ser el principal ‘hub’ de Sudamérica?-El retraso de las obras de ampliación en el aeropuerto limeño Jorge Chávez afecta su competitividad frente a los avances que muestran los terminales aéreos ya ampliados de Bogotá (El Dorado), Santiago de Chile (Arturo Merino) y Panamá (Tocumen). En Bogotá, por ejemplo, hasta proyectan un segundo aeropuerto internacional."
6261440,"2520 entidades públicas deben S/ 12,912 millones a trabajadores por AFP-El Estado peruano, entre entidades del gobierno nacional, las municipalidades y los gobiernos regionales, debe S/ 12,912 millones a sus trabajadores por concepto de AFP, lo que pone en riesgo que 447,974 afiliados al Sistema Privado de Pensiones (SPP) cuenten con una pensión adecuada o se queden sin ella cuando lleguen a la edad de jubilación, informó este martes la Asociación de AFP."
1980211,"Elecciones 2021: George Forsyth renuncia a la alcaldía de La Victoria-<p>Según las últimas encuestas, George Forsyth lidera la intención de voto de los peruanos con un 20 por ciento de respaldo popular.</p>"
1980211,"Elecciones 2021: George Forsyth renuncia a la alcaldía de La Victoria-<p>Según las últimas encuestas, George Forsyth lidera la intención de voto de los peruanos con un 20 por ciento de respaldo popular.</p>"
6224254,"Sunat: Recaudación tributaria cayó 19,9% en septiembre por medidas de alivio a contribuyentes-La Superintendencia Nacional de Aduanas y de Administración Tributaria (Sunat) informó que en setiembre de este año se recaudaron S/ 7,201 millones de ingresos tributarios del Gobierno Central, lo que representó S/ 1,628 millones menos (-19.9%) que lo obtenido en mismo mes del 2019."
2807378,"George Forsyth renuncia como alcalde de La Victoria con miras a las elecciones 2021-El ahora saliente alcalde de La Victoria presentó su dimisión al cargo este lunes 12 de octubre. Lo reemplazará Luis Gutiérrez Salvatierra."
1364712,"¿Cuáles son los tipos de cáncer más comunes en Perú?-<p>El cáncer de mama es uno de los tipos de neoplasias que más afectan a las mujeres y en poca cantidad a los hombres.</p>"
1522049,"Muñoz sobe renuncia de Forsyth: “Es incoherente dejar un trabajo a mitad del camino” [VIDEO]-El alcalde de Lima fue enfático al criticar la dimisión de George Forsyth a la alcaldía de La Victoria, con el objetivo de postular en las próximas elecciones 2021."
4084202,"Más de 2.500 entidades públicas deben S/12.912 millones a trabajadores por concepto de AFP-El Estado peruano, entre entidades del gobierno nacional, las municipalidades y los gobiernos regionales, debe S/ 12,912 millones a sus trabajadores por concepto de AFP, lo que pone en riesgo que 447,974 afiliados al Sistema Privado de Pensiones (SPP) cuenten con una pensión adecuada o se queden sin ella cuando lleguen a la edad de jubilación, informó este martes la Asociación de AFP."
950016,"Martín Vizcarra: anuncian nueva moción de vacancia por presuntas coimas-El vocero de UPP, José Vega, afirmó que promoverá el proceso en contra del mandatario tras declaraciones de un aspirante a colaborador sobre supuestos sobornos a Vizcarra cuando era gobernador de Moquegua."
9213514,"Congresista Silva Santisteban afirma que no leyó ley que repone docentes-La congresista del Frente Amplio, Rocío Silva Santisteban, reconoció que no leyó el dictamen que planteaba la reposición de docentes y que apoya que la votación se reconsidere, a fin de que vuelva a la Comisión de Educación para que vuelva a debatirse."
6404705,"Ministro de Trabajo afirma que "son más los empleos que se crean que los que se pierden”-El titular del Ministerio de Trabajo y Promoción del Empleo (MTPE), Javier Palacios Gallegos aseguró esta noche que en los últimos meses de la pandemia de COVID-19 en el país "son mas los empleos que se crean que los que se pierden”."
2402536,"Martín Vizcarra: los otros cuestionamientos contra el presidente de la República-La adenda de Chinchero y el caso del hospital de Moquegua sacudieron al presidente Martín Vizcarra y a su entorno | Caso Richard Swing |  Ministerio de Cultura | Sonia Guillén renuncia."
7688412,"George Forsyth: teniente alcalde Luis Gutiérrez lo reemplazará en liderazgo de La Victoria-El regidor del distrito y militante de Somos Perú, Luis Alberto Gutiérrez Salvatierra, quedará al frente de la Municipalidad de La Victoria tras la renuncia de George Forsyth."
5335635,"Dólar hoy: Tipo de cambio este lunes 12 de octubre-A las 9:31 de la mañana, el precio del dólar se situaba en S/ 3.5980 en el mercado interbancario, un nivel mayor en 0.45% frente a los S/ 3.5820 del cierre del viernes."
7559402,"Martín Vizcarra: “El virus de la corrupción se defiende cada vez que intentamos vencerlo”-"
7988685,"Segundo Bono Familiar Universal: sepa aquí si es beneficiario del subsidio de 760 soles y cómo cobrarlo-Desde el sábado 10 de octubre se inició el pago del Segundo Bono Familiar Universal de 760 soles a cerca de 4.9 millones de hogares beneficiarios de la fase 1, que comprende a todos aquellos que tengan una cuenta en la banca privada, Banco de la Nación o cajas municipales."
9547783,"George Forsyth deja alcaldía por nueva candidatura-Último día. Hoy vence el plazo para que dimitan los alcaldes y gobernadores que quieran postular a la presidencia y el Congreso."
4520443,"Martín Vizcarra afirma que empresa pagó vuelo como parte de la “responsabilidad social”-El presidente de la República, Martín Vizcarra, reconoció que participó en las coordinaciones para que el consorcio en el que participó Obrainsa alquile una avioneta que trasladó a funcionarios de Bolivia en diciembre del 2013, cuando era gobernador regional de Moquegua, y aseguró que este trámite fue “totalmente transparente” y que no prueba que haya recibido algún pago ilícitos de esta empresa que es parte del ‘Club de la Construcción’."
1089948,"¿Lunes de lentejas? El consumo de menestras ayuda a combatir la diabetes-Según los nutricionistas del Instituto Nacional de Salud (INS) del Ministerio de Salud, las lentejitas - y otras menestras - tienen un bajo índice glicémico, bajo contenido en grasa y alto contenido en fibra, por lo que son ideales para las personas que tienen diabetes."
4538872,"Los planes de Glovo en el Perú, ahora con nueva dueña,  y lo que se viene para el delivery | ENTREVISTA-Alonso Nuñez, gerente general de Glovo Perú, detalla a Día1 cuáles son las implicancias en el país de la venta de la operación regional a la gigante alemana Delivery Hero (que tiene la marca PedidosYa). Con la nueva dueña, asegura que los planes pensados a tres años, se alcanzarán en solo uno: apunta a 8 millones de usuarios y superar los S/500 millones de transacciones en el 2021."
9859772,"IPE: ¿Cuáles serían las consecuencias de colocar topes a las tasas de interés para préstamos?-Los límites a las tasas de interés generarían un racionamiento del crédito. Experiencias de otros países advierten de posibles consecuencias negativas"
8364337,"Ricardo Burga solicitará que Comisión de Fiscalización no asuma casos del ‘Club de la construcción’-El vocero alterno de la bancada de Acción Popular, Ricardo Burga, dijo que solicitará a Edgar Alarcón (Unión por el Perú), presidente de la Comisión de Fiscalización, que no investigue la difusión del testimonio de un aspirante a colaborador eficaz del caso 'Club de la construcción' que acusa a Martín Vizcarra de presuntamente haber recibido S/1 millón de manera ilícita cuando era gobernador regional de Moquegua."
2491955,"SOAT energético para toda la cadena de GLP-"
7804457,"Caso Richard Swing: PJ reprogramó audiencia para evaluar prisión preventiva de investigados-La jueza Sonia Bazalar Manrique informó que las evaluaciones de prisión preventiva y comparecencia con restricciones impedimento de salida del país se postergarán para el 21 y 23 de octubre respectivamente."
3713271,"Hasta tres directivos de construcción acusan a Martín Vizcarra-Pagos en efectivo. Elard Tejeda, de Obrainsa, declaró que pagaron un millón de soles para adjudicarse una obra de irrigación. Otros dos directivos de ICCGSA y CASA se han acercado a la fiscalía para entregar información de supuestos pagos ilícitos al presidente cuando fue gobernador de Moquegua."
5592798,"Vizcarra reitera que no recibió dinero ilícito: “Sin una prueba se atreven a manchar honras”-El presidente volvió a rechazar el testimonio de un aspirante a colaborador, quien señaló que Martín Vizcarra habría favorecido al consorcio Obrainsa-Astaldi a cambio de S/ 1 millón."
7422689,"Cobre toca máximos de varios años por demanda china-El cobre subía este lunes, acercándose a su cota más elevada en tres semanas, ya que la sólida demanda de China y la amenaza de huelgas de mineros en Chile acercaban los precios a los máximos de 27 meses alcanzados en septiembre."
2498717,"APN aprueba cambios para la habilitación portuaria del terminal Engie-Inversión para las modificaciones será de 22 millones 600 mil dólares y se ejecutará en un plazo de 349 días."
